priority,task_id,tier,mode,role,subtype,canonical_design,model,model_id,terminal_status,status_note
1,vector_add_generate,core,repair,generation,specification_to_kernel,vector_add,DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,completed,valid terminal state reached
1,vector_add_generate,core,repair,generation,specification_to_kernel,vector_add,Qwen3.5-122B-A10B,Qwen/Qwen3.5-122B-A10B,completed,valid terminal state reached
1,vector_add_generate,core,repair,generation,specification_to_kernel,vector_add,Qwen3.6-27B,Qwen/Qwen3.6-27B,completed,valid terminal state reached
2,synth_fix_dynamic_buffer,core,repair,synthesis_repair,unsupported_dynamic_allocation,vector_scale,DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,completed,valid terminal state reached
2,synth_fix_dynamic_buffer,core,repair,synthesis_repair,unsupported_dynamic_allocation,vector_scale,Qwen3.5-122B-A10B,Qwen/Qwen3.5-122B-A10B,completed,valid terminal state reached
2,synth_fix_dynamic_buffer,core,repair,synthesis_repair,unsupported_dynamic_allocation,vector_scale,Qwen3.6-27B,Qwen/Qwen3.6-27B,completed,valid terminal state reached
3,projection_bugfix,core,repair,repair,functional,projection,DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,completed,valid terminal state reached
3,projection_bugfix,core,repair,repair,functional,projection,Qwen3.5-122B-A10B,Qwen/Qwen3.5-122B-A10B,completed,valid terminal state reached
3,projection_bugfix,core,repair,repair,functional,projection,Qwen3.6-27B,Qwen/Qwen3.6-27B,completed,valid terminal state reached
4,residual_stream_deadlock,core,repair,structural_repair,cosim_stream_deadlock,residual_stream,DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,completed,valid terminal state reached
4,residual_stream_deadlock,core,repair,structural_repair,cosim_stream_deadlock,residual_stream,Qwen3.5-122B-A10B,Qwen/Qwen3.5-122B-A10B,completed,valid terminal state reached
4,residual_stream_deadlock,core,repair,structural_repair,cosim_stream_deadlock,residual_stream,Qwen3.6-27B,Qwen/Qwen3.6-27B,completed,valid terminal state reached
5,structural_blind_stream,core,repair,structural_repair,blind_cosim_stream_deadlock,stream_pipeline,DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,completed,valid terminal state reached
